Date,Cash,Basis,Stock
1/1/2008,,766,
1/2/2008,,970,
1/3/2008,,1350,
1/4/2008,,1888,
1/5/2008,,1888,
1/6/2008,,1888,
1/7/2008,,1784,
1/8/2008,,1800,
1/9/2008,,1716,
1/10/2008,,1654,
1/11/2008,,1380,
1/12/2008,,1380,
1/13/2008,,1380,
1/14/2008,,1560,
1/15/2008,,1818,
1/16/2008,,1920,
1/17/2008,,1986,
1/18/2008,,2160,
1/19/2008,,2160,
1/20/2008,,2160,
1/21/2008,,2160,
1/22/2008,,2150,
1/23/2008,,2060,
1/24/2008,,1980,
1/25/2008,,1850,
1/26/2008,,1850,
1/27/2008,,1850,
1/28/2008,,1820,
1/29/2008,,1754,
1/30/2008,,1784,
1/31/2008,,1630,
2/1/2008,,1550,
2/2/2008,,1550,
2/3/2008,,1550,
2/4/2008,,1330,
2/5/2008,,1330,
2/6/2008,,1330,
2/7/2008,,1330,
2/8/2008,,1330,
2/9/2008,,1330,
2/10/2008,,1330,
2/11/2008,,1330,
2/12/2008,,1330,
2/13/2008,,1088,
2/14/2008,,844,
2/15/2008,,710,
2/16/2008,,710,
2/17/2008,,710,
2/18/2008,,810,
2/19/2008,,600,
2/20/2008,,502,
2/21/2008,,336,
2/22/2008,,70,
2/23/2008,,70,
2/24/2008,,70,
2/25/2008,,-22,
2/26/2008,,198,
2/27/2008,,-198,
2/28/2008,,118,
2/29/2008,,-80,
3/1/2008,,-80,
3/2/2008,,-80,
3/3/2008,,512,
3/4/2008,,1510,
3/5/2008,,1858,
3/6/2008,,1624,
3/7/2008,,1934,
3/8/2008,,1934,
3/9/2008,,1934,
3/10/2008,,1158,
3/11/2008,,754,
3/12/2008,,1180,
3/13/2008,,890,
3/14/2008,,962,
3/15/2008,,962,
3/16/2008,,962,
3/17/2008,,1422,
3/18/2008,,1706,
3/19/2008,,1750,
3/20/2008,,1492,
3/21/2008,,1492,
3/22/2008,,1492,
3/23/2008,,1492,
3/24/2008,,1104,
3/25/2008,,1240,
3/26/2008,,1436,
3/27/2008,,1900,
3/28/2008,,2052,
3/29/2008,,2052,
3/30/2008,,2052,
3/31/2008,,1416,
4/1/2008,,1668,
4/2/2008,,2108,
4/3/2008,,1960,
4/4/2008,,1960,
4/5/2008,,1960,
4/6/2008,,1960,
4/7/2008,,1558,
4/8/2008,,1850,
4/9/2008,,1806,
4/10/2008,,1660,
4/11/2008,,1644,
4/12/2008,,1644,
4/13/2008,,1644,
4/14/2008,,1290,
4/15/2008,,940,
4/16/2008,,956,
4/17/2008,,852,
4/18/2008,,864,
4/19/2008,,864,
4/20/2008,,864,
4/21/2008,,1206,
4/22/2008,,1418,
4/23/2008,,1044,
4/24/2008,,834,
4/25/2008,,1120,
4/26/2008,,1120,
4/27/2008,,1120,
4/28/2008,,922,
4/29/2008,,1146,
4/30/2008,,1094,
5/1/2008,,1094,
5/2/2008,,1094,
5/3/2008,,1094,
5/4/2008,,1094,
5/5/2008,,1032,
5/6/2008,,856,
5/7/2008,,828,
5/8/2008,,484,
5/9/2008,,558,
5/10/2008,,558,
5/11/2008,,558,
5/12/2008,,44,
5/13/2008,,74,
5/14/2008,,-30,
5/15/2008,,274,
5/16/2008,,334,
5/17/2008,,334,
5/18/2008,,334,
5/19/2008,,346,
5/20/2008,,364,
5/21/2008,,402,
5/22/2008,,204,
5/23/2008,,280,
5/24/2008,,280,
5/25/2008,,280,
5/26/2008,,280,
5/27/2008,,-238,
5/28/2008,,-126,
5/29/2008,,-170,
5/30/2008,,112,
5/31/2008,,112,
6/1/2008,,112,
6/2/2008,,328,
6/3/2008,,278,
6/4/2008,,318,
6/5/2008,,268,
6/6/2008,,110,
6/7/2008,,110,
6/8/2008,,110,
6/9/2008,,110,
6/10/2008,,-54,
6/11/2008,,-290,
6/12/2008,,-240,
6/13/2008,,-262,
6/14/2008,,-262,
6/15/2008,,-262,
6/16/2008,,-274,
6/17/2008,,24,
6/18/2008,,-12,
6/19/2008,,10,
6/20/2008,,56,
6/21/2008,,56,
6/22/2008,,56,
6/23/2008,,144,
6/24/2008,,198,
6/25/2008,,122,
6/26/2008,,94,
6/27/2008,,42,
6/28/2008,,42,
6/29/2008,,42,
6/30/2008,,-40,
7/1/2008,,-158,
7/2/2008,,-160,
7/3/2008,,56,
7/4/2008,,156,
7/5/2008,,156,
7/6/2008,,156,
7/7/2008,,206,
7/8/2008,,294,
7/9/2008,,220,
7/10/2008,,254,
7/11/2008,,110,
7/12/2008,,110,
7/13/2008,,110,
7/14/2008,,244,
7/15/2008,,254,
7/16/2008,,320,
7/17/2008,,110,
7/18/2008,,282,
7/19/2008,,282,
7/20/2008,,282,
7/21/2008,,716,
7/22/2008,,826,
7/23/2008,,1220,
7/24/2008,,1190,
7/25/2008,,1170,
7/26/2008,,1170,
7/27/2008,,1170,
7/28/2008,,1058,
7/29/2008,,1248,
7/30/2008,,1082,
7/31/2008,,794,
8/1/2008,,1070,
8/2/2008,,1070,
8/3/2008,,1070,
8/4/2008,,1328,
8/5/2008,,1726,
8/6/2008,,1530,
8/7/2008,,1400,
8/8/2008,,1400,
8/9/2008,,1400,
8/10/2008,,1400,
8/11/2008,,1532,
8/12/2008,,1498,
8/13/2008,,1260,
8/14/2008,,990,
8/15/2008,,1328,
8/16/2008,,1328,
8/17/2008,,1328,
8/18/2008,,1000,
8/19/2008,,800,
8/20/2008,,400,
8/21/2008,,640,
8/22/2008,,684,
8/23/2008,,684,
8/24/2008,,684,
8/25/2008,,842,
8/26/2008,,1080,
8/27/2008,,1240,
8/28/2008,,1260,
8/29/2008,,1150,
8/30/2008,,1150,
8/31/2008,,1150,
9/1/2008,,1150,
9/2/2008,,1300,
9/3/2008,,1398,
9/4/2008,,1250,
9/5/2008,,1600,
9/6/2008,,1600,
9/7/2008,,1600,
9/8/2008,,1600,
9/9/2008,,1480,
9/10/2008,,1300,
9/11/2008,,950,
9/12/2008,,750,
9/13/2008,,750,
9/14/2008,,750,
9/15/2008,,750,
9/16/2008,,900,
9/17/2008,,900,
9/18/2008,,900,
9/19/2008,,700,
9/20/2008,,700,
9/21/2008,,700,
9/22/2008,,1070,
9/23/2008,,1100,
9/24/2008,,900,
9/25/2008,,900,
9/26/2008,,726,
9/27/2008,,726,
9/28/2008,,726,
9/29/2008,,726,
9/30/2008,,726,
10/1/2008,,726,
10/2/2008,,726,
10/3/2008,,726,
10/4/2008,,726,
10/5/2008,,726,
10/6/2008,,900,
10/7/2008,,600,
10/8/2008,,612,
10/9/2008,,1012,
10/10/2008,,1382,
10/11/2008,,1382,
10/12/2008,,1382,
10/13/2008,,1444,
10/14/2008,,968,
10/15/2008,,1346,
10/16/2008,,1474,
10/17/2008,,1154,
10/18/2008,,1154,
10/19/2008,,1154,
10/20/2008,,1048,
10/21/2008,,1400,
10/22/2008,,1240,
10/23/2008,,1298,
10/24/2008,,1250,
10/25/2008,,1250,
10/26/2008,,1250,
10/27/2008,,1174,
10/28/2008,,894,
10/29/2008,,772,
10/30/2008,,900,
10/31/2008,,1004,
11/1/2008,,1004,
11/2/2008,,1004,
11/3/2008,,1102,
11/4/2008,,1100,
11/5/2008,,1200,
11/6/2008,,1202,
11/7/2008,,866,
11/8/2008,,866,
11/9/2008,,866,
11/10/2008,,620,
11/11/2008,,770,
11/12/2008,,856,
11/13/2008,,878,
11/14/2008,,710,
11/15/2008,,710,
11/16/2008,,710,
11/17/2008,,692,
11/18/2008,,700,
11/19/2008,,650,
11/20/2008,,872,
11/21/2008,,730,
11/22/2008,,730,
11/23/2008,,730,
11/24/2008,,734,
11/25/2008,,570,
11/26/2008,,600,
11/27/2008,,600,
11/28/2008,,550,
11/29/2008,,550,
11/30/2008,,550,
12/1/2008,,500,
12/2/2008,,744,
12/3/2008,,708,
12/4/2008,,720,
12/5/2008,,1028,
12/6/2008,,1028,
12/7/2008,,1028,
12/8/2008,,878,
12/9/2008,,880,
12/10/2008,,764,
12/11/2008,,744,
12/12/2008,,880,
12/13/2008,,880,
12/14/2008,,880,
12/15/2008,,630,
12/16/2008,,808,
12/17/2008,,760,
12/18/2008,,816,
12/19/2008,,772,
12/20/2008,,772,
12/21/2008,,772,
12/22/2008,,608,
12/23/2008,,728,
12/24/2008,,880,
12/25/2008,,1030,
12/26/2008,,984,
12/27/2008,,984,
12/28/2008,,984,
12/29/2008,,784,
12/30/2008,,848,
12/31/2008,,860,
1/1/2009,,860,
1/2/2009,,860,
1/3/2009,,860,
1/4/2009,,860,
1/5/2009,,836,
1/6/2009,,698,
1/7/2009,,734,
1/8/2009,,820,
1/9/2009,,728,
1/10/2009,,728,
1/11/2009,,728,
1/12/2009,,580,
1/13/2009,,972,
1/14/2009,,840,
1/15/2009,,952,
1/16/2009,,920,
1/17/2009,,920,
1/18/2009,,920,
1/19/2009,,920,
1/20/2009,,986,
1/21/2009,,990,
1/22/2009,,1002,
1/23/2009,,972,
1/24/2009,,972,
1/25/2009,,972,
1/26/2009,,972,
1/27/2009,,972,
1/28/2009,,972,
1/29/2009,,972,
1/30/2009,,972,
1/31/2009,,972,
2/1/2009,,972,
2/2/2009,,984,
2/3/2009,,820,
2/4/2009,,760,
2/5/2009,,804,
2/6/2009,,728,
2/7/2009,,728,
2/8/2009,,728,
2/9/2009,,490,
2/10/2009,,510,
2/11/2009,,702,
2/12/2009,,692,
2/13/2009,,614,
2/14/2009,,614,
2/15/2009,,614,
2/16/2009,,614,
2/17/2009,,890,
2/18/2009,,990,
2/19/2009,,1136,
2/20/2009,,1000,
2/21/2009,,1000,
2/22/2009,,1000,
2/23/2009,,894,
2/24/2009,,1094,
2/25/2009,,1010,
2/26/2009,,1054,
2/27/2009,,1058,
2/28/2009,,1058,
3/1/2009,,1058,
3/2/2009,,1042,
3/3/2009,,1036,
3/4/2009,,994,
3/5/2009,,1014,
3/6/2009,,790,
3/7/2009,,790,
3/8/2009,,790,
3/9/2009,,748,
3/10/2009,,690,
3/11/2009,,744,
3/12/2009,,566,
3/13/2009,,570,
3/14/2009,,570,
3/15/2009,,570,
