	['Date', 'Cash', 'Stock']
0	['2018-01-05' 6650.0 441170.0]
1	['2018-01-06' 6650.0 441170.0]
2	['2018-01-07' 6650.0 441170.0]
3	['2018-01-08' 6650.0 441170.0]
4	['2018-01-09' 6650.0 441170.0]
5	['2018-01-10' 6620.0 441170.0]
6	['2018-01-11' 6600.0 441170.0]
7	['2018-01-12' 6550.0 424800.0]
8	['2018-01-13' 6550.0 424800.0]
9	['2018-01-14' 6550.0 424800.0]
10	['2018-01-15' 6550.0 424800.0]
11	['2018-01-16' 6500.0 424800.0]
12	['2018-01-17' 6450.0 424800.0]
13	['2018-01-18' 6450.0 424800.0]
14	['2018-01-19' 6450.0 440440.0]
15	['2018-01-20' 6450.0 440440.0]
16	['2018-01-21' 6450.0 440440.0]
17	['2018-01-22' 6450.0 440440.0]
18	['2018-01-23' 6480.0 440440.0]
19	['2018-01-24' 6500.0 440440.0]
20	['2018-01-25' 6500.0 440440.0]
21	['2018-01-26' 6530.0 438410.0]
22	['2018-01-27' 6530.0 438410.0]
23	['2018-01-28' 6530.0 438410.0]
24	['2018-01-29' 6550.0 438410.0]
25	['2018-01-30' 6520.0 438410.0]
26	['2018-01-31' 6520.0 438410.0]
27	['2018-02-01' 6500.0 438410.0]
28	['2018-02-02' 6470.0 382420.0]
29	['2018-02-03' 6470.0 382420.0]
30	['2018-02-04' 6470.0 382420.0]
31	['2018-02-05' 6450.0 382420.0]
32	['2018-02-06' 6450.0 382420.0]
33	['2018-02-07' 6450.0 382420.0]
34	['2018-02-08' 6450.0 382420.0]
35	['2018-02-09' 6450.0 390270.0]
36	['2018-02-10' 6450.0 390270.0]
37	['2018-02-11' 6450.0 390270.0]
38	['2018-02-12' 6450.0 390270.0]
39	['2018-02-13' 6450.0 390270.0]
40	['2018-02-14' 6450.0 390270.0]
41	['2018-02-15' 6450.0 390270.0]
42	['2018-02-16' 6450.0 376895.0]
43	['2018-02-17' 6450.0 376895.0]
44	['2018-02-18' 6450.0 376895.0]
45	['2018-02-19' 6450.0 376895.0]
46	['2018-02-20' 6450.0 376895.0]
47	['2018-02-21' 6450.0 376895.0]
48	['2018-02-22' 6450.0 376895.0]
49	['2018-02-23' 6450.0 376895.0]
50	['2018-02-24' 6450.0 376895.0]
51	['2018-02-25' 6450.0 376895.0]
52	['2018-02-26' 6470.0 376895.0]
53	['2018-02-27' 6470.0 376895.0]
54	['2018-02-28' 6470.0 376895.0]
55	['2018-03-01' 6470.0 376895.0]
56	['2018-03-02' 6520.0 363520.0]
57	['2018-03-03' 6520.0 363520.0]
58	['2018-03-04' 6520.0 363520.0]
59	['2018-03-05' 6470.0 363520.0]
60	['2018-03-06' 6470.0 363520.0]
61	['2018-03-07' 6470.0 363520.0]
62	['2018-03-08' 6440.0 363520.0]
63	['2018-03-09' 6440.0 360540.0]
64	['2018-03-10' 6440.0 360540.0]
65	['2018-03-11' 6440.0 360540.0]
66	['2018-03-12' 6440.0 360540.0]
67	['2018-03-13' 6490.0 360540.0]
68	['2018-03-14' 6550.0 360540.0]
69	['2018-03-15' 6500.0 360540.0]
70	['2018-03-16' 6550.0 420960.0]
71	['2018-03-17' 6550.0 420960.0]
72	['2018-03-18' 6550.0 420960.0]
73	['2018-03-19' 6550.0 420960.0]
74	['2018-03-20' 6520.0 420960.0]
75	['2018-03-21' 6520.0 420960.0]
76	['2018-03-22' 6520.0 420960.0]
77	['2018-03-23' 6520.0 508640.0]
78	['2018-03-24' 6520.0 508640.0]
79	['2018-03-25' 6520.0 508640.0]
80	['2018-03-26' 6520.0 508640.0]
81	['2018-03-27' 6500.0 508640.0]
82	['2018-03-28' 6480.0 508640.0]
83	['2018-03-29' 6450.0 508640.0]
84	['2018-03-30' 6450.0 509670.0]
85	['2018-03-31' 6450.0 509670.0]
86	['2018-04-01' 6450.0 509670.0]
87	['2018-04-02' 6500.0 509670.0]
88	['2018-04-03' 6520.0 509670.0]
89	['2018-04-04' 6550.0 509670.0]
90	['2018-04-05' 6550.0 509670.0]
91	['2018-04-06' 6550.0 485110.0]
92	['2018-04-07' 6550.0 485110.0]
93	['2018-04-08' 6550.0 485110.0]
94	['2018-04-09' 6600.0 485110.0]
95	['2018-04-10' 6550.0 485110.0]
96	['2018-04-11' 6550.0 485110.0]
97	['2018-04-12' 6550.0 485110.0]
98	['2018-04-13' 6500.0 486310.0]
99	['2018-04-14' 6500.0 486310.0]
100	['2018-04-15' 6500.0 486310.0]
101	['2018-04-16' 6500.0 486310.0]
102	['2018-04-17' 6450.0 486310.0]
103	['2018-04-18' 6450.0 486310.0]
104	['2018-04-19' 6450.0 486310.0]
105	['2018-04-20' 6500.0 499960.0]
106	['2018-04-21' 6500.0 499960.0]
107	['2018-04-22' 6500.0 499960.0]
108	['2018-04-23' 6500.0 499960.0]
109	['2018-04-24' 6500.0 499960.0]
110	['2018-04-25' 6500.0 499960.0]
111	['2018-04-26' 6500.0 499960.0]
112	['2018-04-27' 6500.0 482270.0]
113	['2018-04-28' 6500.0 482270.0]
114	['2018-04-29' 6500.0 482270.0]
115	['2018-04-30' 6500.0 482270.0]
116	['2018-05-01' 6500.0 482270.0]
117	['2018-05-02' 6500.0 482270.0]
118	['2018-05-03' 6500.0 482270.0]
119	['2018-05-04' 6500.0 492910.0]
120	['2018-05-05' 6500.0 492910.0]
121	['2018-05-06' 6500.0 492910.0]
122	['2018-05-07' 6550.0 492910.0]
123	['2018-05-08' 6550.0 492910.0]
124	['2018-05-09' 6620.0 492910.0]
125	['2018-05-10' 6640.0 492910.0]
126	['2018-05-11' 6640.0 499820.0]
127	['2018-05-12' 6640.0 499820.0]
128	['2018-05-13' 6640.0 499820.0]
129	['2018-05-14' 6640.0 499820.0]
130	['2018-05-15' 6640.0 499820.0]
131	['2018-05-16' 6580.0 499820.0]
132	['2018-05-17' 6530.0 499820.0]
133	['2018-05-18' 6550.0 490750.0]
134	['2018-05-19' 6550.0 490750.0]
135	['2018-05-20' 6550.0 490750.0]
136	['2018-05-21' 6650.0 490750.0]
137	['2018-05-22' 6650.0 490750.0]
138	['2018-05-23' 6620.0 490750.0]
139	['2018-05-24' 6670.0 490750.0]
140	['2018-05-25' 6700.0 492840.0]
141	['2018-05-26' 6700.0 492840.0]
142	['2018-05-27' 6700.0 492840.0]
143	['2018-05-28' 6650.0 492840.0]
144	['2018-05-29' 6650.0 492840.0]
145	['2018-05-30' 6800.0 492840.0]
146	['2018-05-31' 6850.0 492840.0]
147	['2018-06-01' 6850.0 546710.0]
148	['2018-06-02' 6850.0 546710.0]
149	['2018-06-03' 6850.0 546710.0]
150	['2018-06-04' 6900.0 546710.0]
151	['2018-06-05' 6800.0 546710.0]
152	['2018-06-06' 6750.0 546710.0]
153	['2018-06-07' 6720.0 546710.0]
154	['2018-06-08' 6680.0 545920.0]
155	['2018-06-09' 6680.0 545920.0]
156	['2018-06-10' 6680.0 545920.0]
157	['2018-06-11' 6650.0 545920.0]
158	['2018-06-12' 6650.0 545920.0]
159	['2018-06-13' 6600.0 545920.0]
160	['2018-06-14' 6650.0 545920.0]
161	['2018-06-15' 6670.0 582480.0]
162	['2018-06-16' 6670.0 582480.0]
163	['2018-06-17' 6670.0 582480.0]
164	['2018-06-18' 6670.0 582480.0]
165	['2018-06-19' 6670.0 582480.0]
166	['2018-06-20' 6470.0 582480.0]
167	['2018-06-21' 6500.0 582480.0]
168	['2018-06-22' 6470.0 600100.0]
169	['2018-06-23' 6470.0 600100.0]
170	['2018-06-24' 6470.0 600100.0]
171	['2018-06-25' 6470.0 600100.0]
172	['2018-06-26' 6450.0 600100.0]
173	['2018-06-27' 6450.0 600100.0]
174	['2018-06-28' 6450.0 600100.0]
175	['2018-06-29' 6450.0 600080.0]
176	['2018-06-30' 6450.0 600080.0]
177	['2018-07-01' 6450.0 600080.0]
178	['2018-07-02' 6450.0 600080.0]
179	['2018-07-03' 6450.0 600080.0]
180	['2018-07-04' 6450.0 600080.0]
181	['2018-07-05' 6450.0 600080.0]
182	['2018-07-06' 6450.0 620870.0]
