	['Date', 'Basis']
0	['2008-01-01' 766.0]
1	['2008-01-02' 970.0]
2	['2008-01-03' 1350.0]
3	['2008-01-04' 1888.0]
4	['2008-01-05' 1888.0]
5	['2008-01-06' 1888.0]
6	['2008-01-07' 1784.0]
7	['2008-01-08' 1800.0]
8	['2008-01-09' 1716.0]
9	['2008-01-10' 1654.0]
10	['2008-01-11' 1380.0]
11	['2008-01-12' 1380.0]
12	['2008-01-13' 1380.0]
13	['2008-01-14' 1560.0]
14	['2008-01-15' 1818.0]
15	['2008-01-16' 1920.0]
16	['2008-01-17' 1986.0]
17	['2008-01-18' 2160.0]
18	['2008-01-19' 2160.0]
19	['2008-01-20' 2160.0]
20	['2008-01-21' 2160.0]
21	['2008-01-22' 2150.0]
22	['2008-01-23' 2060.0]
23	['2008-01-24' 1980.0]
24	['2008-01-25' 1850.0]
25	['2008-01-26' 1850.0]
26	['2008-01-27' 1850.0]
27	['2008-01-28' 1820.0]
28	['2008-01-29' 1754.0]
29	['2008-01-30' 1784.0]
30	['2008-01-31' 1630.0]
31	['2008-02-01' 1550.0]
32	['2008-02-02' 1550.0]
33	['2008-02-03' 1550.0]
34	['2008-02-04' 1330.0]
35	['2008-02-05' 1330.0]
36	['2008-02-06' 1330.0]
37	['2008-02-07' 1330.0]
38	['2008-02-08' 1330.0]
39	['2008-02-09' 1330.0]
40	['2008-02-10' 1330.0]
41	['2008-02-11' 1330.0]
42	['2008-02-12' 1330.0]
43	['2008-02-13' 1088.0]
44	['2008-02-14' 844.0]
45	['2008-02-15' 710.0]
46	['2008-02-16' 710.0]
47	['2008-02-17' 710.0]
48	['2008-02-18' 810.0]
49	['2008-02-19' 600.0]
50	['2008-02-20' 502.0]
51	['2008-02-21' 336.0]
52	['2008-02-22' 70.0]
53	['2008-02-23' 70.0]
54	['2008-02-24' 70.0]
55	['2008-02-25' -22.0]
56	['2008-02-26' 198.0]
57	['2008-02-27' -198.0]
58	['2008-02-28' 118.0]
59	['2008-02-29' -80.0]
60	['2008-03-01' -80.0]
61	['2008-03-02' -80.0]
62	['2008-03-03' 512.0]
63	['2008-03-04' 1510.0]
64	['2008-03-05' 1858.0]
65	['2008-03-06' 1624.0]
66	['2008-03-07' 1934.0]
67	['2008-03-08' 1934.0]
68	['2008-03-09' 1934.0]
69	['2008-03-10' 1158.0]
70	['2008-03-11' 754.0]
71	['2008-03-12' 1180.0]
72	['2008-03-13' 890.0]
73	['2008-03-14' 962.0]
74	['2008-03-15' 962.0]
75	['2008-03-16' 962.0]
76	['2008-03-17' 1422.0]
77	['2008-03-18' 1706.0]
78	['2008-03-19' 1750.0]
79	['2008-03-20' 1492.0]
80	['2008-03-21' 1492.0]
81	['2008-03-22' 1492.0]
82	['2008-03-23' 1492.0]
83	['2008-03-24' 1104.0]
84	['2008-03-25' 1240.0]
85	['2008-03-26' 1436.0]
86	['2008-03-27' 1900.0]
87	['2008-03-28' 2052.0]
88	['2008-03-29' 2052.0]
89	['2008-03-30' 2052.0]
90	['2008-03-31' 1416.0]
91	['2008-04-01' 1668.0]
92	['2008-04-02' 2108.0]
93	['2008-04-03' 1960.0]
94	['2008-04-04' 1960.0]
95	['2008-04-05' 1960.0]
96	['2008-04-06' 1960.0]
97	['2008-04-07' 1558.0]
98	['2008-04-08' 1850.0]
99	['2008-04-09' 1806.0]
100	['2008-04-10' 1660.0]
101	['2008-04-11' 1644.0]
102	['2008-04-12' 1644.0]
103	['2008-04-13' 1644.0]
104	['2008-04-14' 1290.0]
105	['2008-04-15' 940.0]
106	['2008-04-16' 956.0]
107	['2008-04-17' 852.0]
108	['2008-04-18' 864.0]
109	['2008-04-19' 864.0]
110	['2008-04-20' 864.0]
111	['2008-04-21' 1206.0]
112	['2008-04-22' 1418.0]
113	['2008-04-23' 1044.0]
114	['2008-04-24' 834.0]
115	['2008-04-25' 1120.0]
116	['2008-04-26' 1120.0]
117	['2008-04-27' 1120.0]
118	['2008-04-28' 922.0]
119	['2008-04-29' 1146.0]
120	['2008-04-30' 1094.0]
121	['2008-05-01' 1094.0]
122	['2008-05-02' 1094.0]
123	['2008-05-03' 1094.0]
124	['2008-05-04' 1094.0]
125	['2008-05-05' 1032.0]
126	['2008-05-06' 856.0]
127	['2008-05-07' 828.0]
128	['2008-05-08' 484.0]
129	['2008-05-09' 558.0]
130	['2008-05-10' 558.0]
131	['2008-05-11' 558.0]
132	['2008-05-12' 44.0]
133	['2008-05-13' 74.0]
134	['2008-05-14' -30.0]
135	['2008-05-15' 274.0]
136	['2008-05-16' 334.0]
137	['2008-05-17' 334.0]
138	['2008-05-18' 334.0]
139	['2008-05-19' 346.0]
140	['2008-05-20' 364.0]
141	['2008-05-21' 402.0]
142	['2008-05-22' 204.0]
143	['2008-05-23' 280.0]
144	['2008-05-24' 280.0]
145	['2008-05-25' 280.0]
146	['2008-05-26' 280.0]
147	['2008-05-27' -238.0]
148	['2008-05-28' -126.0]
149	['2008-05-29' -170.0]
150	['2008-05-30' 112.0]
151	['2008-05-31' 112.0]
152	['2008-06-01' 112.0]
153	['2008-06-02' 328.0]
154	['2008-06-03' 278.0]
155	['2008-06-04' 318.0]
156	['2008-06-05' 268.0]
157	['2008-06-06' 110.0]
158	['2008-06-07' 110.0]
159	['2008-06-08' 110.0]
160	['2008-06-09' 110.0]
161	['2008-06-10' -54.0]
162	['2008-06-11' -290.0]
163	['2008-06-12' -240.0]
164	['2008-06-13' -262.0]
165	['2008-06-14' -262.0]
166	['2008-06-15' -262.0]
167	['2008-06-16' -274.0]
168	['2008-06-17' 24.0]
169	['2008-06-18' -12.0]
170	['2008-06-19' 10.0]
171	['2008-06-20' 56.0]
172	['2008-06-21' 56.0]
173	['2008-06-22' 56.0]
174	['2008-06-23' 144.0]
175	['2008-06-24' 198.0]
176	['2008-06-25' 122.0]
177	['2008-06-26' 94.0]
178	['2008-06-27' 42.0]
179	['2008-06-28' 42.0]
180	['2008-06-29' 42.0]
181	['2008-06-30' -40.0]
182	['2008-07-01' -158.0]
183	['2008-07-02' -160.0]
184	['2008-07-03' 56.0]
185	['2008-07-04' 156.0]
186	['2008-07-05' 156.0]
187	['2008-07-06' 156.0]
188	['2008-07-07' 206.0]
189	['2008-07-08' 294.0]
190	['2008-07-09' 220.0]
