Date,SOilStock
2014-03-21,23.84
2014-03-28,40.29
2014-04-04,39.47
2014-04-11,38.68
2014-04-18,39.69
2014-04-25,39.1
2014-05-02,40.06
2014-05-09,39.93
2014-05-16,42.46
2014-05-23,43.57
2014-05-30,44.38
2014-06-06,50.7
2014-06-13,52.95
2014-06-20,53.72
2014-06-27,65.78
2014-07-04,67.2
2014-07-11,67.62
2014-07-18,68.91
2014-07-25,70.96
2014-08-01,88.15
2014-08-08,90.42
2014-08-15,79.68
2014-08-22,75.05
2014-08-29,60.04
2014-09-05,63.56
2014-09-12,90.65
2014-09-19,102.92
2014-09-26,106.24
2014-10-10,112.14
2014-10-17,110.42
2014-10-24,106.99
2014-10-31,104.81
2014-11-07,101.31
2014-11-14,93.1
2014-11-21,88.7
2014-11-28,88.03
2014-12-05,83.62
2014-12-12,86.56
2014-12-19,81.25
2014-12-26,78.29
2015-01-02,78.02
2015-01-09,73.78
2015-01-16,70.59
2015-01-23,67.17
2015-01-30,79.13
2015-02-06,84.74
2015-02-13,76.76
2015-02-27,76.08
2015-03-06,76.12
2015-03-13,74.53
2015-03-20,72.16
2015-03-27,69.59
2015-04-03,63.03
2015-04-10,62.26
2015-04-17,59.27
2015-04-24,58.6
2015-05-01,56.89
2015-05-08,55.72
2015-05-15,56.64
2015-05-22,61.69
2015-05-29,67.82
2015-06-05,68.45
2015-06-12,70.47
2015-06-19,77.18
2015-06-26,82.46
2015-07-03,88.55
2015-07-10,89.53
2015-07-17,91.03
2015-07-24,93.06
2015-07-31,97.58
2015-08-07,102.74
2015-08-14,104.53
2015-08-21,105.46
2015-08-28,106.97
2015-09-04,105.19
2015-09-11,103.11
2015-09-18,97.29
2015-09-25,96.58
2015-10-09,97.62
2015-10-16,98.77
2015-10-23,102.41
2015-10-30,102.65
2015-11-06,103.68
2015-11-13,103.55
2015-11-20,108.87
2015-11-27,109.19
2015-12-04,105.89
2015-12-11,104.21
2015-12-18,102.58
2015-12-25,99.78
2016-01-01,96.9
2016-01-08,91.6
2016-01-15,87.4
2016-01-22,86.3
2016-01-29,81.45
2016-02-12,77.86
2016-02-19,73.45
2016-02-26,69.89
2016-03-04,68.88
2016-03-11,69.78
2016-03-18,68.94
2016-03-25,70.72
2016-04-01,70.64
2016-04-08,69.235
2016-04-15,72.54
2016-04-22,75.83
2016-04-29,75.33
2016-05-06,79.82
2016-05-13,80.02
2016-05-20,82.79
2016-05-27,85.97
2016-06-03,90.53
2016-06-10,96.98
2016-06-17,101.6
2016-06-24,102.45
2016-07-01,108.84
2016-07-08,115.02
2016-07-15,117.4
2016-07-22,123.61
2016-07-29,126.97
2016-08-05,124.56
2016-08-12,124.09
2016-08-19,123.6
2016-08-26,126.9
2016-09-02,127.66
2016-09-09,124.75
2016-09-16,123.07
2016-09-23,126.75
2016-09-30,127.44
2016-10-07,127.2
2016-10-14,126.38
2016-10-21,121.62
2016-10-28,117.28
2016-11-04,116.71
2016-11-11,114.62
2016-11-18,111.52
2016-11-25,107.93
2016-12-02,104.48
2016-12-09,101.99
2016-12-16,98.72
2016-12-23,102.84
2016-12-30,97.26
2017-01-06,100.73
2017-01-13,95.05
2017-01-20,106.12
2017-02-10,105.37
2017-02-17,108.28
2017-02-24,109.725
2017-03-03,108.09
2017-03-10,108.13
2017-03-17,112.07
2017-03-24,110.06
2017-03-31,112.67
2017-04-07,112.63
2017-04-14,107.35
2017-04-21,109.76
2017-04-28,109.82
2017-05-05,119.5
2017-05-12,119.96
2017-05-19,120.02
2017-05-26,120.69
2017-06-02,117.94
2017-06-09,120.04
2017-06-16,123.04
2017-06-23,124.12
2017-06-30,118.49
2017-07-07,122.31
2017-07-14,123.21
2017-07-21,127.84
2017-07-28,131.92
2017-08-04,130.69
2017-08-11,131.22
2017-08-18,131.1
2017-08-25,128.96
2017-09-01,129.89
2017-09-08,119.16
2017-09-15,123.39
2017-09-22,133.71
2017-09-29,134.39
2017-10-13,145.6
2017-10-20,150.65
2017-10-27,148.71
2017-11-03,150.13
2017-11-10,151.19
2017-11-17,151.9
2017-11-24,158.77
2017-12-01,159.21
2017-12-08,157.01
2017-12-15,160.1
2017-12-22,156.77
2017-12-29,159.97
2018-01-05,156.69
2018-01-12,152.77
2018-01-19,148.79
2018-01-26,146
2018-02-02,142.91
2018-02-09,142.72
2018-02-23,135.44
2018-03-02,129.05
2018-03-09,129.92
2018-03-16,130.23
2018-03-23,127.2
2018-03-30,126.36
2018-04-06,124.5
2018-04-13,120.59
2018-04-20,120.15
2018-04-27,119.4
2018-05-04,124.28
2018-05-11,122.69
2018-05-18,123.84
2018-05-25,124.95
2018-06-01,126.59
2018-06-08,128.22
2018-06-15,132.61
2018-06-22,144.97
2018-06-29,146.07
2018-07-06,148.97
2018-07-13,151.16
2018-07-20,151.27
2018-07-27,152.64
2018-08-03,151.54
2018-08-10,150.86
2018-08-17,152.6
2018-08-24,151.69
2018-08-31,146.25
2018-09-07,147.84
2018-09-14,147.37
2018-09-21,152.85
2018-09-28,159.73
2018-10-12,166.22
2018-10-19,170.59
2018-10-26,170.91
2018-11-02,168.93
2018-11-09,167.18
2018-11-16,167.87
2018-11-23,167.83
2018-11-30,163.85
2018-12-07,160.05
2018-12-14,158.15
2018-12-21,154.37
2018-12-28,150.29
2019-01-04,142.75
2019-01-11,133.94
2019-01-18,129.08
2019-01-25,127.38
2019-02-01,129.05
2019-02-08,#N/A
2019-02-15,129.32
2019-02-22,125.96
2019-03-01,123.95
2019-03-08,125.96
2019-03-15,128.36
2019-03-22,125.76
2019-03-29,124.19
2019-04-05,126.29
2019-04-12,126.33
2019-04-19,124.92
2019-04-26,121.44
2019-05-03,123.55
2019-05-10,123.63
2019-05-17,127.93
2019-05-24,125.1
2019-05-31,121.59
2019-06-07,125.61
2019-06-14,127.55
2019-06-21,128.37
2019-06-28,126.74
2019-07-05,124.23
2019-07-12,125.58
2019-07-19,124.58
2019-07-26,120.25
2019-08-02,119.72
2019-08-09,119.5
2019-08-16,120.54
2019-08-23,117.23
2019-08-30,117.52
2019-09-06,119.79
2019-09-13,118.96
2019-09-20,119.04
2019-09-27,120.76
2019-10-04,120.54
2019-10-11,118.47
2019-10-18,121.53
2019-10-25,117.96
2019-11-01,114.24
2019-11-08,108.81
2019-11-15,103.85
2019-11-22,101.87
2019-11-29,97.13
2019-12-06,93.44
2019-12-13,85.28
2019-12-20,82.73
2019-12-27,84.15
2020-01-03,84.7
2020-01-10,79.08
2020-01-17,78.48
2020-01-31,78.92
2020-02-07,83.91
2020-02-14,92.86
2020-02-21,106.78
2020-02-28,115.27
2020-03-06,124.88
2020-03-13,123.26
2020-03-20,114.47
2020-03-27,110.06
2020-04-03,101.4
2020-04-10,87.97
2020-04-17,79.46
2020-04-24,74.39
2020-05-01,71.4
2020-05-08,73.65
2020-05-15,76.1
2020-05-22,77.11
2020-05-29,80.62
2020-06-05,82.88
2020-06-12,84.98
2020-06-19,90.98
2020-06-26,96.9
2020-07-03,98.29
2020-07-10,100.33
2020-07-17,102.37
2020-07-24,112.46
2020-07-31,106.9
2020-08-07,107.11
2020-08-14,107
2020-08-21,106.84
2020-08-28,111.71
2020-09-04,107.9
2020-09-11,106.04
2020-09-18,107.54
2020-09-25,109.21
2020-10-09,115.23
2020-10-16,112.6
2020-10-23,105.03
2020-10-30,101.34
2020-11-06,101.57
2020-11-13,98.64
2020-11-20,99.98
2020-11-27,95.82
2020-12-04,89.29
2020-12-11,85.77
2020-12-18,80.11
2020-12-25,78.69
2021-01-01,79.63
2021-01-08,76.03
2021-01-15,75.43
2021-01-22,74.32
2021-01-29,75.35
2021-02-05,78.21
2021-02-19,79.59
2021-02-26,81.95
2021-03-05,80.94
2021-03-12,76.04
2021-03-19,73.6
2021-03-26,68.82
2021-04-02,67.96
2021-04-09,63.02
2021-04-16,63.63
2021-04-23,65.97
2021-04-30,66.42
2021-05-07,71.79
2021-05-14,76.44
2021-05-21,79.91
2021-05-28,79.72
2021-06-04,82.81
2021-06-11,84.3
2021-06-18,87.99
2021-06-25,91.53
2021-07-02,93.39
2021-07-09,93.22
2021-07-16,95.26
2021-07-23,97.86
2021-07-30,98.16
2021-08-06,96.47
2021-08-13,94.41
2021-08-20,93.56
2021-08-27,92.88
2021-09-03,90.02
2021-09-10,89.79
2021-09-17,88.9
2021-09-24,89.4
2021-10-08,93.86
2021-10-15,93.38
2021-10-22,87.96
2021-10-29,87.34
2021-11-05,86.77
2021-11-12,83.11
2021-11-19,84.26
2021-11-26,84.18
2021-12-03,84.16
2021-12-10,82.9
2021-12-17,82.42
2021-12-24,82.16
2021-12-31,81.94
2022-01-07,79.22
2022-01-14,78.69
2022-01-21,80.29
2022-01-28,82.51
2022-02-04,82.51
2022-02-11,81.85
2022-02-18,80.47
2022-02-25,78.67
2022-03-04,76.23
2022-03-11,75.15
2022-03-18,75.92
2022-03-25,75.31
2022-04-01,73.43
2022-04-08,76.65
2022-04-15,78.19
2022-04-22,80.94
2022-04-29,85.52
2022-05-06,90.1
2022-05-13,88.96
2022-05-20,91.42
2022-05-27,92.11
2022-06-03,93.29
2022-06-10,92.31
2022-06-17,94.632
2022-06-24,96.305
2022-07-01,96.97
2022-07-08,95.25
2022-07-15,92.19
2022-07-22,89.12
2022-07-29,88.99
2022-08-05,86.48
2022-08-12,81.44
2022-08-19,79.395
2022-08-26,81.293
2022-09-02,79.974
2022-09-09,78.43
2022-09-16,80.89
2022-09-23,81.095
2022-09-30,80.68
2022-10-07,84.09
2022-10-14,82.8
2022-10-21,79.64
2022-10-28,80.51
2022-11-04,79.44
2022-11-11,77.34
2022-11-18,75.2
2022-11-25,74.56
2022-12-02,73.835
2022-12-09,74.34
2022-12-16,75.302
2022-12-23,76.455
2022-12-30,78.825
2023-01-06,81.375
2023-01-13,82.39
2023-01-27,84.86
2023-02-03,79.91
2023-02-10,79.05
2023-02-17,78.59
2023-02-24,76.38
2023-03-03,74.01
2023-03-10,74.25
2023-03-17,67.41
2023-03-24,65.47
2023-03-31,64.18
2023-04-07,63.68
2023-04-14,65.41
2023-04-21,66.55
2023-04-28,71.99
2023-05-05,78.99
2023-05-12,74.21
2023-05-19,74.22
2023-05-26,79.22
2023-06-02,84.59
2023-06-09,87.31
2023-06-16,93.65
2023-06-23,98.67
2023-06-30,100.74
2023-07-07,99.47
2023-07-14,102.88
2023-07-21,106.95
2023-07-28,109.08
2023-08-04,108.83
2023-08-11,107.03
2023-08-18,105.36
2023-08-25,103.05
2023-09-01,100.33
2023-09-08,96.31
2023-09-15,98.26
2023-09-22,100.64
2023-10-06,102.67
2023-10-13,94.65
2023-10-20,97.64
2023-10-27,96.26
2023-11-03,95.8
2023-11-10,94.85
2023-11-17,94.25
2023-11-24,97.65
2023-12-01,98.81
2023-12-08,100.23
2023-12-15,99.32
2023-12-22,98.5
2023-12-29,99.1
2024-01-05,99.3
2024-01-12,95.78
2024-01-19,92.95
2024-01-26,92.37
2024-02-02,90.38
2024-02-16,91.4
2024-02-23,91.3
2024-03-01,91.24
2024-03-08,91.37
2024-03-15,89.59
2024-03-22,88.73
2024-03-29,87.39
2024-04-05,87.4
2024-04-12,86.16
2024-04-19,83.9
2024-04-26,84.08
2024-05-03,85.82
2024-05-10,84.89
2024-05-17,86.08
2024-05-24,91.54
2024-05-31,95.69
2024-06-07,93.68
2024-06-14,93.76
2024-06-21,96.21
2024-06-28,98.41
2024-07-05,101.86
2024-07-12,106.11
2024-07-19,106.62
2024-07-26,109.12
2024-08-02,112.6
2024-08-09,109.69
2024-08-16,111.11
2024-08-23,109.59
2024-08-30,109.4
2024-09-06,108.09
2024-09-13,109.74
2024-09-20,113.02
2024-09-27,115.58
2024-10-11,114.01
2024-10-18,113
2024-10-25,113.4
2024-11-01,113.25
2024-11-08,110.12
2024-11-15,107.81
2024-11-22,106.59
2024-11-29,105.3
2024-12-06,98.23
2024-12-13,96.39
2024-12-20,95.29
2024-12-27,96.63
2025-01-03,93.25
2025-01-10,89.4
2025-01-17,89.59
2025-01-24,87.73
2025-01-31,89.83
2025-02-07,88.65
2025-02-14,89.37
2025-02-21,92.88
2025-02-28,94.15
2025-03-07,92.13
2025-03-14,92.12
2025-03-21,88.12
2025-03-28,83.91
2025-04-04,79.12
2025-04-11,69.39
2025-04-18,65.04
2025-04-25,61.85
2025-05-02,62.68
2025-05-09,65.44
2025-05-16,65.63
2025-05-23,69.72
2025-05-30,75.49
2025-06-06,81.27
2025-06-13,84.7
2025-06-20,88.63
2025-06-27,95.52
2025-07-04,101.97
2025-07-11,104.94
2025-07-18,109.18
2025-07-25,108.81
2025-08-01,111.74
2025-08-08,113.77
2025-08-15,114.27
2025-08-22,118.6
2025-08-29,123.88
2025-09-05,125.13
2025-09-12,125.12
2025-09-19,123.59
2025-09-26,124.87
2025-10-10,126.51
2025-10-17,122.4
2025-10-24,125.03
2025-10-31,121.58
2025-11-07,115.72
2025-11-14,114.85
2025-11-21,117.99
2025-11-28,117.88
2025-12-05,116.3
2025-12-12,113.74
2025-12-19,112.35
2025-12-26,108.9
2026-01-02,108.1
2026-01-09,102.51
2026-01-16,96.33
2026-01-23,95.6
2026-01-30,94.68
2026-02-06,95.99
2026-02-13,94.42
2026-02-20,94.49
2026-02-27,91.33
2026-03-06,90.59
2026-03-13,88.59
2026-03-20,86.07
2026-03-27,84.06
2026-04-03,81.84
2026-04-10,81.19
2026-04-17,81.93
2026-04-24,81.99
2026-05-01,77.35
2026-05-08,79.31
2026-05-15,79.05
2026-05-22,83.08
2026-05-29,85.6
2026-06-05,92
