Date,Cash
2011-07-06,10100
2011-07-07,10100
2011-07-08,10150
2011-07-09,10150
2011-07-10,10150
2011-07-11,10150
2011-07-12,10150
2011-07-13,10200
2011-07-14,10200
2011-07-15,10200
2011-07-16,10200
2011-07-17,10200
2011-07-18,10200
2011-07-19,10200
2011-07-20,10200
2011-07-21,10200
2011-07-22,10200
2011-07-23,10200
2011-07-24,10200
2011-07-25,10200
2011-07-26,10200
2011-07-27,10300
2011-07-28,10300
2011-07-29,10300
2011-07-30,10300
2011-07-31,10300
2011-08-01,10300
2011-08-02,10350
2011-08-03,10350
2011-08-04,10350
2011-08-05,10300
2011-08-06,10300
2011-08-07,10300
2011-08-08,10300
2011-08-09,10300
2011-08-10,10350
2011-08-11,10350
2011-08-12,10350
2011-08-13,10350
2011-08-14,10350
2011-08-15,10350
2011-08-16,10400
2011-08-17,10400
2011-08-18,10400
2011-08-19,10400
2011-08-20,10400
2011-08-21,10400
2011-08-22,10500
2011-08-23,10500
2011-08-24,10500
2011-08-25,10500
2011-08-26,10500
2011-08-27,10500
2011-08-28,10500
2011-08-29,10550
2011-08-30,10550
2011-08-31,10550
2011-09-01,10550
2011-09-02,10550
2011-09-03,10550
2011-09-04,10550
2011-09-05,10550
2011-09-06,10550
2011-09-07,10550
2011-09-08,10550
2011-09-09,10550
2011-09-10,10550
2011-09-11,10550
2011-09-12,10550
2011-09-13,10550
2011-09-14,10550
2011-09-15,10550
2011-09-16,10550
2011-09-17,10550
2011-09-18,10550
2011-09-19,10550
2011-09-20,10550
2011-09-21,10550
2011-09-22,10450
2011-09-23,10450
2011-09-24,10450
2011-09-25,10450
2011-09-26,10400
2011-09-27,10400
2011-09-28,10400
2011-09-29,10300
2011-09-30,10300
2011-10-01,10300
2011-10-02,10300
2011-10-03,10300
2011-10-04,10300
2011-10-05,10300
2011-10-06,10300
2011-10-07,10300
2011-10-08,10300
2011-10-09,10300
2011-10-10,10200
2011-10-11,10200
2011-10-12,10200
2011-10-13,10200
2011-10-14,10200
2011-10-15,10200
2011-10-16,10200
2011-10-17,10200
2011-10-18,10200
2011-10-19,10200
2011-10-20,10150
2011-10-21,10150
2011-10-22,10150
2011-10-23,10150
2011-10-24,10150
2011-10-25,10150
2011-10-26,10150
2011-10-27,10150
2011-10-28,10150
2011-10-29,10150
2011-10-30,10150
2011-10-31,10150
2011-11-01,10100
2011-11-02,10100
2011-11-03,10100
2011-11-04,10100
2011-11-05,10100
2011-11-06,10100
2011-11-07,10100
2011-11-08,10100
2011-11-09,10100
2011-11-10,10000
2011-11-11,10000
2011-11-12,10000
2011-11-13,10000
2011-11-14,10000
2011-11-15,10000
2011-11-16,10000
2011-11-17,10000
2011-11-18,10000
2011-11-19,10000
2011-11-20,10000
2011-11-21,10000
2011-11-22,10000
2011-11-23,10000
2011-11-24,9900
2011-11-25,9900
2011-11-26,9900
2011-11-27,9900
2011-11-28,9900
2011-11-29,9900
2011-11-30,9900
2011-12-01,9900
2011-12-02,9900
2011-12-03,9900
2011-12-04,9900
2011-12-05,9900
2011-12-06,9900
2011-12-07,9900
2011-12-08,9900
2011-12-09,9900
2011-12-10,9900
2011-12-11,9900
2011-12-12,9900
2011-12-13,9900
2011-12-14,9900
2011-12-15,9800
2011-12-16,9800
2011-12-17,9800
2011-12-18,9800
2011-12-19,9800
2011-12-20,9800
2011-12-21,9800
2011-12-22,9800
2011-12-23,9800
2011-12-24,9800
2011-12-25,9800
2011-12-26,9800
2011-12-27,9800
2011-12-28,9800
2011-12-29,9800
2011-12-30,9800
2011-12-31,9800
2012-01-01,9800
2012-01-02,9800
2012-01-03,9800
2012-01-04,9800
2012-01-05,9800
2012-01-06,9800
2012-01-07,9800
2012-01-08,9800
2012-01-09,9800
2012-01-10,9800
2012-01-11,9800
2012-01-12,9800
2012-01-13,9800
2012-01-14,9800
2012-01-15,9800
2012-01-16,9800
2012-01-17,9800
2012-01-18,9800
2012-01-19,9800
2012-01-20,9800
2012-01-21,9800
2012-01-22,9800
2012-01-23,9800
2012-01-24,9800
2012-01-25,9800
2012-01-26,9800
2012-01-27,9800
2012-01-28,9800
2012-01-29,9800
2012-01-30,9800
2012-01-31,9800
2012-02-01,9800
2012-02-02,9800
2012-02-03,9800
2012-02-04,9800
2012-02-05,9800
2012-02-06,9800
2012-02-07,9800
2012-02-08,9800
2012-02-09,9850
2012-02-10,9850
2012-02-11,9850
2012-02-12,9850
2012-02-13,9850
2012-02-14,9850
2012-02-15,9850
2012-02-16,9850
2012-02-17,9850
2012-02-18,9850
2012-02-19,9850
2012-02-20,9900
2012-02-21,9900
2012-02-22,9900
2012-02-23,9900
2012-02-24,9900
2012-02-25,9900
2012-02-26,9900
2012-02-27,9900
2012-02-28,9900
2012-02-29,9900
2012-03-01,9900
2012-03-02,9900
2012-03-03,9900
2012-03-04,9900
2012-03-05,9900
2012-03-06,9900
2012-03-07,9900
2012-03-08,9900
2012-03-09,10000
2012-03-10,10000
2012-03-11,10000
2012-03-12,10000
2012-03-13,10000
2012-03-14,10050
2012-03-15,10050
2012-03-16,10100
2012-03-17,10100
2012-03-18,10100
2012-03-19,10100
2012-03-20,10100
2012-03-21,10100
2012-03-22,10100
2012-03-23,10100
2012-03-24,10100
2012-03-25,10100
2012-03-26,10200
2012-03-27,10200
2012-03-28,10200
2012-03-29,10200
2012-03-30,10200
2012-03-31,10200
2012-04-01,10200
2012-04-02,10200
2012-04-03,10200
2012-04-04,10200
2012-04-05,10500
2012-04-06,10500
2012-04-07,10500
2012-04-08,10500
2012-04-09,10500
2012-04-10,10500
2012-04-11,10700
2012-04-12,10700
2012-04-13,10750
2012-04-14,10750
2012-04-15,10750
2012-04-16,10750
2012-04-17,10750
2012-04-18,10750
2012-04-19,10700
2012-04-20,10700
2012-04-21,10700
2012-04-22,10700
2012-04-23,10700
2012-04-24,10700
2012-04-25,10700
2012-04-26,10700
2012-04-27,10700
2012-04-28,10700
2012-04-29,10700
2012-04-30,10700
2012-05-01,10700
2012-05-02,10700
2012-05-03,10700
2012-05-04,10700
2012-05-05,10700
2012-05-06,10700
2012-05-07,10700
2012-05-08,10700
2012-05-09,10700
2012-05-10,10700
2012-05-11,10700
2012-05-12,10700
2012-05-13,10700
2012-05-14,10700
2012-05-15,10700
2012-05-16,10700
2012-05-17,10700
2012-05-18,10700
2012-05-19,10700
2012-05-20,10700
2012-05-21,10700
2012-05-22,10700
2012-05-23,10700
2012-05-24,10700
2012-05-25,10700
2012-05-26,10700
2012-05-27,10700
2012-05-28,10700
2012-05-29,10700
2012-05-30,10700
2012-05-31,10700
2012-06-01,10700
2012-06-02,10700
2012-06-03,10700
2012-06-04,10600
2012-06-05,10600
2012-06-06,10600
2012-06-07,10600
2012-06-08,10600
2012-06-09,10600
2012-06-10,10600
2012-06-11,10600
2012-06-12,10600
2012-06-13,10600
2012-06-14,10600
2012-06-15,10600
2012-06-16,10600
2012-06-17,10600
2012-06-18,10600
2012-06-19,10600
2012-06-20,10650
2012-06-21,10650
2012-06-22,10650
2012-06-23,10650
2012-06-24,10650
2012-06-25,10750
2012-06-26,10750
2012-06-27,10750
2012-06-28,10750
2012-06-29,10750
2012-06-30,10750
2012-07-01,10750
2012-07-02,10800
2012-07-03,10800
2012-07-04,10800
2012-07-05,10800
2012-07-06,10800
2012-07-07,10800
2012-07-08,10800
2012-07-09,10800
2012-07-10,10900
2012-07-11,10900
2012-07-12,10900
2012-07-13,10900
