Date,Stock
2018-01-05,441170
2018-01-12,424800
2018-01-19,440440
2018-01-26,438410
2018-02-02,382420
2018-02-09,390270
2018-02-16,376895
2018-02-23,376895
2018-03-02,363520
2018-03-09,360540
2018-03-16,420960
2018-03-23,508640
2018-03-30,509670
2018-04-06,485110
2018-04-13,486310
2018-04-20,499960
2018-04-27,482270
2018-05-04,492910
2018-05-11,499820
2018-05-18,490750
2018-05-25,492840
2018-06-01,546710
2018-06-08,545920
2018-06-15,582480
2018-06-22,600100
2018-06-29,600080
2018-07-06,620870
2018-07-13,610020
2018-07-20,668570
2018-07-27,661720
2018-08-03,659120
2018-08-10,678210
2018-08-17,702890
2018-08-24,718120
2018-08-31,711370
2018-09-07,701900
2018-09-14,698620
2018-09-21,684700
2018-09-28,683760
2018-10-05,687905
2018-10-12,692050
2018-10-19,671590
2018-10-26,672920
2018-11-02,683210
2018-11-09,703470
2018-11-16,717900
2018-11-23,787220
2018-11-30,765240
2018-12-07,729530
2018-12-14,721090
2018-12-21,742640
2018-12-28,711470
2019-01-04,695540
2019-01-11,718960
2019-01-18,686780
2019-01-25,715710
2019-02-01,690640
2019-02-08,711140
2019-02-15,697880
2019-02-22,709770
2019-03-01,718220
2019-03-08,674160
2019-03-15,655340
2019-03-22,617100
2019-03-29,606420
2019-04-05,607110
2019-04-12,595060
2019-04-19,595990
2019-04-26,581470
2019-05-03,581240
2019-05-10,607690
2019-05-17,604430
2019-05-24,629170
2019-05-31,642330
2019-06-07,635700
2019-06-14,694770
2019-06-21,679510
2019-06-28,700060
2019-07-05,709470
2019-07-12,690530
2019-07-19,662840
2019-07-26,683160
2019-08-02,696610
2019-08-09,662420
2019-08-16,671480
2019-08-23,642260
2019-08-30,613960
2019-09-06,614560
2019-09-13,606530
2019-09-20,577620
2019-09-27,579650
2019-10-04,612820
2019-10-11,633480
2019-10-18,624490
2019-10-25,615070
2019-11-01,599030
2019-11-08,580340
2019-11-15,562100
2019-11-22,533380
2019-11-29,502100
2019-12-06,477370
2019-12-13,453960
2019-12-20,427640
2019-12-27,408650
2020-01-03,368340
2020-01-10,336330
2020-01-17,302400
2020-01-24,316502
2020-01-31,320002
2020-02-07,339300
2020-02-14,332840
2020-02-21,341770
2020-02-28,338180
2020-03-06,349970
2020-03-13,356000
2020-03-20,360700
2020-03-27,326850
2020-04-03,295800
2020-04-10,276270
2020-04-17,224930
2020-04-24,207950
2020-05-01,219760
2020-05-08,215280
2020-05-15,207740
2020-05-22,212700
2020-05-29,222690
2020-06-05,202150
2020-06-12,204890
2020-06-19,217710
2020-06-26,229040
2020-07-03,231580
2020-07-10,237670
2020-07-17,255850
2020-07-24,261060
2020-07-31,253040
2020-08-07,238420
2020-08-14,235790
2020-08-21,243650
2020-08-28,257000
2020-09-04,264010
2020-09-11,271720
2020-09-18,254300
2020-09-25,242590
2020-10-02,235490
2020-10-09,236100
2020-10-16,330780
2020-10-23,317740
2020-10-30,289680
2020-11-06,272120
2020-11-13,240990
2020-11-20,228260
2020-11-27,213510
2020-12-04,209650
2020-12-11,185330
2020-12-18,189860
2020-12-25,172760
2021-01-01,154330
2021-01-08,191850
2021-01-15,169560
2021-01-22,177080
2021-01-29,199030
2021-02-05,198920
2021-02-12,204000
2021-02-19,252090
2021-02-26,224260
2021-03-05,201700
2021-03-12,252560
2021-03-19,234790
2021-03-26,251510
2021-04-02,283030
2021-04-09,267850
2021-04-16,265460
2021-04-23,282370
2021-04-30,268270
2021-05-07,308570
2021-05-14,334820
2021-05-21,334120
2021-05-28,352470
2021-06-04,353570
2021-06-11,364970
2021-06-18,345070
2021-06-25,361020
2021-07-02,382520
2021-07-09,381370
2021-07-16,392220
2021-07-23,416120
2021-07-30,414070
2021-08-06,411320
2021-08-13,420320
2021-08-20,468570
2021-08-27,474120
2021-09-03,488370
2021-09-10,473370
2021-09-17,463420
2021-09-24,460870
2021-10-01,429870
2021-10-08,432370
2021-10-15,428120
2021-10-22,399370
2021-10-29,387670
2021-11-05,361670
2021-11-12,334320
2021-11-19,326970
2021-11-26,292620
2021-12-03,275770
2021-12-10,281520
2021-12-17,309670
2021-12-24,287970
2021-12-31,275620
2022-01-07,262770
2022-01-14,261020
2022-01-21,249370
2022-01-28,238170
2022-02-04,238170
2022-02-11,243220
2022-02-18,253770
2022-02-25,270720
2022-03-04,252970
2022-03-11,244970
2022-03-18,248920
2022-03-25,243920
2022-04-01,238870
2022-04-08,235870
2022-04-15,229370
2022-04-22,236420
2022-04-29,244920
2022-05-06,255070
2022-05-13,261020
2022-05-20,252170
2022-05-27,259670
2022-06-03,246670
2022-06-10,217670
2022-06-17,201270
2022-06-24,189620
2022-07-01,172070
2022-07-08,167070
2022-07-15,157820
2022-07-22,138170
2022-07-29,105670
2022-08-05,104620
2022-08-12,96670
2022-08-19,83270
2022-08-26,75070
2022-09-02,70820
2022-09-09,57270
2022-09-16,53970
2022-09-23,47820
2022-09-30,48995
2022-10-07,50495
2022-10-14,43295
2022-10-21,44495
2022-10-28,34295
2022-11-04,33895
2022-11-11,23395
2022-11-18,33895
2022-11-25,64195
2022-12-02,46895
2022-12-09,30395
2022-12-16,30195
2022-12-23,16395
2022-12-30,1395
2023-01-06,-16205
2023-01-13,395
2023-01-20,21145
2023-01-27,40223
2023-02-03,46401
2023-02-10,45301
2023-02-17,57434
2023-02-24,88801
2023-03-03,112601
2023-03-10,105901
2023-03-17,107667
2023-03-24,123401
2023-03-31,159167
2023-04-07,212467
2023-04-14,243034
2023-04-21,257734
2023-04-28,286901
2023-05-05,328334
2023-05-12,340834
2023-05-19,336767
2023-05-26,367667
2023-06-02,384401
2023-06-09,409667
2023-06-16,408101
2023-06-23,403867
2023-06-30,383634
2023-07-07,344234
2023-07-14,336001
2023-07-21,323634
2023-07-28,341434
2023-08-04,347567
2023-08-11,335334
2023-08-18,346067
2023-08-25,368134
2023-09-01,356301
2023-09-08,354901
2023-09-15,338034
2023-09-22,317734
2023-09-29,311884
2023-10-06,307901
2023-10-13,296701
2023-10-20,292001
2023-10-27,274201
2023-11-03,273701
2023-11-10,269801
2023-11-17,287601
2023-11-24,288801
2023-12-01,314701
2023-12-08,332601
2023-12-15,335501
2023-12-22,376201
2023-12-29,361001
2024-01-05,358701
2024-01-12,350101
2024-01-19,340401
2024-01-26,326201
2024-02-02,305801
2024-02-09,297201
2024-02-16,297201
2024-02-23,288801
2024-03-01,293901
2024-03-08,296101
2024-03-15,311901
2024-03-22,312101
2024-03-29,317301
2024-04-05,316801
2024-04-12,315601
2024-04-19,334901
2024-04-26,331701
2024-05-03,324501
2024-05-10,330601
2024-05-17,346501
2024-05-24,374901
2024-05-31,366701
2024-06-07,357901
2024-06-14,374901
2024-06-21,386401
2024-06-28,379601
2024-07-05,385901
2024-07-12,387401
2024-07-19,400101
2024-07-26,410901
2024-08-02,416401
2024-08-09,415401
2024-08-16,416701
2024-08-23,412901
2024-08-30,399801
2024-09-06,391101
2024-09-13,375001
2024-09-20,361301
2024-09-27,362301
2024-10-04,369801
2024-10-11,381401
2024-10-18,356401
2024-10-25,341901
2024-11-01,346001
2024-11-08,366601
2024-11-15,363401
2024-11-22,391901
2024-11-29,394901
2024-12-06,400701
2024-12-13,418901
2024-12-20,414201
2024-12-27,426401
2025-01-03,428801
2025-01-10,435401
2025-01-17,440901
2025-01-24,492001
2025-01-31,497383
2025-02-07,554383
2025-02-14,596383
2025-02-21,643483
2025-02-28,656283
2025-03-07,726883
2025-03-14,729483
2025-03-21,765483
2025-03-28,757383
2025-04-04,729783
2025-04-11,736183
2025-04-18,739483
2025-04-25,756083
2025-05-02,788883
2025-05-09,783883
2025-05-16,758583
2025-05-23,735183
2025-05-30,741883
2025-06-06,727983
2025-06-13,730983
2025-06-20,740683
2025-06-27,721083
2025-07-04,691083
2025-07-11,682083
2025-07-18,665883
2025-07-25,658083
2025-08-01,659483
2025-08-08,650583
2025-08-15,637583
2025-08-22,621383
2025-08-29,623383
2025-09-05,592383
2025-09-12,566783
2025-09-19,539483
2025-09-26,526383
2025-10-03,524383
2025-10-10,524383
2025-10-17,506883
2025-10-24,494983
2025-10-31,467983
2025-11-07,412983
2025-11-14,382083
2025-11-21,329483
2025-11-28,309483
2025-12-05,289683
2025-12-12,264383
2025-12-19,229383
2025-12-26,207383
2026-01-02,187883
2026-01-09,155383
2026-01-16,166383
2026-01-23,140383
2026-01-30,130483
2026-02-06,112383
2026-02-13,116483
2026-02-20,116483
2026-02-27,132583
2026-03-06,111983
2026-03-13,138883
2026-03-20,138383
2026-03-27,164883
2026-04-03,133383
2026-04-10,162883
2026-04-17,184883
2026-04-24,180783
2026-05-01,202483
2026-05-08,203683
2026-05-15,225683
2026-05-22,217983
2026-05-29,227483
2026-06-05,227383
2026-06-12,217883
